word	k	p	sqrt_kp	sum	DF	DFtoWF	cluster
senā	0.0369935821537844	0.601256255913174	0.60239323568189	25	19	0.76	7
aj	0.659951303302837	0.958653043092327	1.16385195783712	29	28	0.96551724137931	2
vāma	0.0744079358562778	0.546180336977601	0.551225454255659	63	45	0.714285714285714	7
pravṛdh	1.11832279186503	0.991272487827949	1.49441192846196	10	10	1	1
vadh	0.112253870851707	0.745739695309752	0.75414098461884	39	33	0.846153846153846	6
dasyu	0.178960055735703	0.679534879970693	0.702705026768494	86	68	0.790697674418605	7
dhanin	0.447566968532771	0.991268277632916	1.08762539027137	4	4	1	2
dhanū	0.560893704170497	0.99129963617078	1.13898055999671	5	5	1	2
ayajvan	0.00475736719988379	0.35009252884891	0.350124851015319	9	5	0.555555555555556	8
śīrṣa	0.895894005533584	0.991276088861546	1.33613410760285	8	8	1	2
sthātṛ	0.258253341848679	0.926094219275941	0.961428776120376	21	20	0.952380952380952	4
avrata	0.0287842674780324	0.709632383524716	0.710215920548967	12	10	0.833333333333333	7
dham	0.132074050620174	0.854044942312337	0.864196921040861	23	21	0.91304347826087	6
rodasī	0.254613124504267	0.746725994267634	0.788940779580326	88	73	0.829545454545455	4
yātay	0.0346683977783544	0.730990809075542	0.731812449168114	13	11	0.846153846153846	6
navagva	0.0964106617481969	0.875267722803516	0.880561526686454	14	13	0.928571428571429	6
pravat	0.334963673550561	0.911838694454612	0.971416732048186	33	31	0.939393939393939	4
citay	0.0624920831309515	0.752005522966198	0.754597619281767	21	18	0.857142857142857	6
sīm	510.201920622799	0.9999	510.202900430018	52	48	0.923076923076923	10
duh	0.303192812693479	0.676115286467354	0.740984319850168	148	114	0.77027027027027	5
sadhrīcīna	0.895875440892178	0.991275925050086	1.33612153832563	8	8	1	2
ojiṣṭha	1.82956698752799	0.990503554491383	2.08048375463792	18	18	1	1
hanman	0.0201793471105517	0.746037264534692	0.746310127309159	7	6	0.857142857142857	6
dṛḍha	0.709922136554128	0.945121770042085	1.18205101420246	42	40	0.952380952380952	2
yāvat	0.00835904381119605	0.436414240549313	0.436494287439906	11	7	0.636363636363636	8
taras	0.895875440203802	0.991275925043973	1.33612153785954	8	8	1	2
pṛtanyu	0.560893642458067	0.991299636078844	1.13898052952626	5	5	1	2
tigma	0.228482098027923	0.820309336851153	0.851534777472077	51	45	0.882352941176471	4
śad	0.991327079286771	0.991134192003144	1.40181181500406	9	9	1	1
kutsa	0.105215612690913	0.738319535560282	0.745778828972688	38	32	0.842105263157895	6
śapha	0.783037303595871	0.991265620594193	1.2632319459999	7	7	1	2
cyu	0.215615987669833	0.886962590702333	0.912794002743353	28	26	0.928571428571429	4
reṇu	0.0449050490596517	0.820652055558933	0.821879711225525	10	9	0.9	6
nṛṣāhya	0.0449050490596036	0.820652055558757	0.821879711225346	10	9	0.9	6
tugrya	0.447566971886923	0.991268277703302	1.08762539171578	4	4	1	2
kṣetra	0.0744953500324872	0.716743975613411	0.720604942915729	30	25	0.833333333333333	6
jeṣa	0.447566983208605	0.991268277940721	1.08762539659113	4	4	1	2
atra	0.237043043958467	0.662594295250315	0.703719123505506	123	95	0.772357723577236	5
śatrūy	0.560893761646783	0.991299636260401	1.13898058837905	5	5	1	2
vedana	0.650956972053151	0.991033494188732	1.18570332126908	6	6	1	2
navedas	0.650956972154127	0.991033494190274	1.18570332132581	6	6	1	2
yāma	0.100210234620892	0.713523158804018	0.72052577280236	41	34	0.829268292682927	6
yantra	0.447566979096037	0.991268277854504	1.0876253948202	4	4	1	2
vāsas	0.0481985991029194	0.662692769265209	0.664443234138083	25	20	0.8	7
pavi	2.23304997188613	0.991251643065232	2.44317252702714	20	20	1	9
vāhana	1.392889514461	0.990949327623001	1.70942147213959	13	13	1	1
skambha	0.991335048727848	0.991134265281633	1.40181750261994	9	9	1	1
skambh	0.0201793471105517	0.746037264534692	0.746310127309159	7	6	0.857142857142857	6
avadya	0.200072495861437	0.914746435319632	0.936370676885067	19	18	0.947368421052632	4
doṣā	0.200072495861437	0.914746435319632	0.936370676885067	19	18	0.947368421052632	4
vartis	0.0493601817200295	0.642416674431135	0.644310182386242	28	22	0.785714285714286	7
anuvrata	0.447566970377978	0.991268277671638	1.08762539106598	4	4	1	2
suprāvya	0.447566983208605	0.991268277940721	1.08762539659113	4	4	1	2
pṛkṣ	0.215615987669833	0.886962590702333	0.912794002743353	28	26	0.928571428571429	4
akṣara	0.0103709059962803	0.514398249640729	0.51450278417578	10	7	0.7	7
devatāti	0.0937927211624011	0.743339702063792	0.74923359989214	33	28	0.848484848484849	6
saubhaga	2.73107954517856	0.984763488286555	2.90319730813375	43	42	0.976744186046512	9
divya	0.292041519312145	0.748485168966964	0.803441533134584	100	83	0.83	4
oman	0.65095759743579	0.991033502940806	1.1857036719225	6	6	1	2
yos	0.140558348900185	0.85648226219463	0.867939234566325	24	22	0.916666666666667	6
dhātu	0.740326132527231	0.961745625862636	1.2136875344868	30	29	0.966666666666667	2
yajata	0.180129655706829	0.796142046478504	0.81626518426063	47	41	0.872340425531915	4
rathya	0.236176578868154	0.892456034046097	0.923177745134248	29	27	0.931034482758621	4
parāvat	0.635362740029577	0.90876028385316	1.10884221822889	65	60	0.923076923076923	2
ātman	0.10335027802778	0.801999696186387	0.808631431896805	26	23	0.884615384615385	6
āhāva	0.0053769961428326	0.477491212144513	0.477521486179163	6	4	0.666666666666667	7
