word	k	p	sqrt_kp	sum	DF	DFtoWF	CPI	CPIcat
четверо	0.0815448437019524	0.758088194809865	0.762461325343428	14	12	0.857142857142857	0.653538278865795	MediumCPI
горевать	0.0133398543480794	0.374236886946358	0.37447456424346	12	7	0.583333333333333	0.218443495808685	LowCPI
добывать	0.33819664877477	0.914547777850204	0.975076720680599	17	16	0.941176470588235	0.917719266522917	HighCPI
станем	0.407043153806737	0.87250292722908	0.962780082409399	32	29	0.90625	0.872519449683518	HighCPI
отстал	0.0529607475207437	0.780793658458695	0.782587744516402	8	7	0.875	0.684764276451851	MediumCPI
взяли	0.471380483609304	0.719230013559612	0.85993684229291	99	78	0.787878787878788	0.67752599695805	MediumCPI
отстану	0.0100223976293906	0.473317018055073	0.473423117343026	6	4	0.666666666666667	0.315615411562017	LowCPI
равно	0.140690478112687	0.774801306603822	0.787471190169244	22	19	0.863636363636364	0.680088755146166	MediumCPI
мяса	0.0151629057051036	0.289713967002086	0.290110489961165	20	10	0.5	0.145055244980583	VLowCPI
голодать	0.0149672679737022	0.535091927529356	0.535301214287506	7	5	0.714285714285714	0.382358010205361	LowCPI
экой	0.125352331479983	0.762545872125952	0.772780314257419	21	18	0.857142857142857	0.662383126506359	MediumCPI
ребра	0.843656751997588	0.991242642813148	1.30165997561664	4	4	1	1.30165997561664	HighCPI
узнаешь	0.162581814363527	0.791794290171149	0.80831370414547	23	20	0.869565217391304	0.702881481865626	MediumCPI
зацепил	0.338196648775091	0.914547777850276	0.975076720680779	17	16	0.941176470588235	0.917719266523086	HighCPI
этом	0.124533967571183	0.563022652959419	0.576630919067373	52	37	0.711538461538462	0.410295077028708	LowCPI
вил	0.0100223976293906	0.473317018055073	0.473423117343026	6	4	0.666666666666667	0.315615411562017	LowCPI
дрозд	0.000344179288921823	0.0108764166103056	0.0108818609467248	19	1	0.0526315789473684	0.000572729523511832	VLowCPI
гнездо	0.0258742416635789	0.38752811580729	0.388390933110975	22	13	0.590909090909091	0.22950373320194	LowCPI
сидела	0.0208915222558708	0.584309364850887	0.584682725548323	8	6	0.75	0.438512044161242	MediumCPI
смотрела	0.0100223976293906	0.473317018055073	0.473423117343026	6	4	0.666666666666667	0.315615411562017	LowCPI
вью	1.0524527897184	0.99122480785459	1.44574669091525	5	5	1	1.44574669091525	HighCPI
детей	0.134667126213683	0.523296272782815	0.540346392595562	66	45	0.681818181818182	0.36841799495152	LowCPI
выведу	1.27085256203334	0.99126285668742	1.61172835349968	6	6	1	1.61172835349968	HighCPI
накорми	0.0256849182966408	0.38578917227122	0.386643247024461	22	13	0.590909090909091	0.228471009605363	LowCPI
твоих	0.0652806052292915	0.687026042938095	0.690120526498292	16	13	0.8125	0.560722927779863	MediumCPI
тосковать	0.0108225941685352	0.421239845575585	0.421378850970334	8	5	0.625	0.263361781856459	LowCPI
накормить	0.0667739699334949	0.734283472455214	0.737313353318361	13	11	0.846153846153846	0.623880529730921	MediumCPI
полетел	0.123119722994935	0.475726135654927	0.491399859926231	73	47	0.643835616438356	0.316380731733327	LowCPI
убрала	1.27085256203334	0.99126285668742	1.61172835349968	6	6	1	1.61172835349968	HighCPI
накормил	0.0300732510085796	0.473357184212763	0.474311526606787	18	12	0.666666666666667	0.316207684404525	LowCPI
напоить	0.0695960832482701	0.806224575498609	0.809222887059809	9	8	0.888888888888889	0.719309232942053	MediumCPI
воды	0.166775329311413	0.33141955841672	0.371016083435831	181	91	0.502762430939227	0.186532948025749	LowCPI
напилась	0.0449390163860442	0.687301158726602	0.688768755084516	11	9	0.818181818181818	0.563538072341877	MediumCPI
напоил	0.115725883569712	0.721772473161894	0.730991096486289	24	20	0.833333333333333	0.609159247071907	MediumCPI
вытащи	0.027221770471067	0.709376896587564	0.709899011268351	6	5	0.833333333333333	0.591582509390293	MediumCPI
ямы	0.0362294670602259	0.660934549027498	0.66192677267327	10	8	0.8	0.529541418138616	MediumCPI
вынимать	1.0521570364424	0.991222124615461	1.4455295672045	5	5	1	1.4455295672045	HighCPI
этим	0.0619919014137979	0.373265517829367	0.378378306250931	56	32	0.571428571428571	0.216216175000532	LowCPI
самого	0.355263280100907	0.70754905730139	0.791730804425432	79	63	0.79746835443038	0.63138026175699	MediumCPI
вытащил	0.37566838605203	0.845257393151098	0.92497934947518	37	33	0.891891891891892	0.824981581964349	HighCPI
полечу	1.27085256203334	0.99126285668742	1.61172835349968	6	6	1	1.61172835349968	HighCPI
ворота	0.101831239113639	0.449856253584275	0.461237737125117	67	42	0.626865671641791	0.289134103869476	LowCPI
богатому	0.0333972337414527	0.321037556814704	0.322770023557231	38	20	0.526315789473684	0.169878959766964	LowCPI
воротами	0.00996800658371993	0.472013595736993	0.472118836434026	6	4	0.666666666666667	0.314745890956017	LowCPI
бабка	0.00585067308246898	0.104388594870072	0.104552422805337	27	7	0.259259259259259	0.0271061836902725	VLowCPI
сала	0.0120840708371058	0.394012465675147	0.394197726877522	10	6	0.6	0.236518636126513	LowCPI
кусок	0.0462772619243046	0.519715109190567	0.521771386425294	23	16	0.695652173913043	0.362971399252378	LowCPI
вино	0.702666726636427	0.875007773580901	1.12222062561199	54	48	0.888888888888889	0.997529444988432	HighCPI
губам	0.0357956590066351	0.658213641235472	0.659186261015942	10	8	0.8	0.527349008812754	MediumCPI
дали	0.160984431358097	0.582799142777815	0.604624534700872	62	45	0.725806451612903	0.438840388089343	MediumCPI
кафтан	0.0117816413764405	0.202260988317614	0.202603836263633	25	10	0.4	0.0810415345054533	VLowCPI
вороны	0.0208391101278446	0.444692635781663	0.445180647411097	14	9	0.642857142857143	0.286187559049991	LowCPI
летят	0.0439952765802601	0.441024802252059	0.443213786521631	30	19	0.633333333333333	0.280702064797033	LowCPI
синь	0.00610999227448671	0.214212802583135	0.21429992252942	12	5	0.416666666666667	0.0892916343872582	VLowCPI
скинь	1.48571945133804	0.991282763394115	1.78605817516857	7	7	1	1.78605817516857	HighCPI
скинула	0.0150009652723714	0.472776303040224	0.473014229886887	9	6	0.666666666666667	0.315342819924591	LowCPI
красный	0.00931236748862923	0.161534585208687	0.161802788624875	26	9	0.346153846153846	0.0560086576009182	VLowCPI
шлык	0.00880599232649599	0.345032651497366	0.34514500735221	9	5	0.555555555555556	0.191747226306783	LowCPI
дереве	0.0331365867005259	0.426230204615988	0.427516339693758	24	15	0.625	0.267197712308599	LowCPI
терентий	0.00117474269373399	0.0968050633667714	0.096812190936065	6	1	0.166666666666667	0.0161353651560108	VLowCPI
бу	1e-04	0.00298025972839546	0.00298193696256239	18	1	0.0555555555555556	0.000165663164586799	VLowCPI
указ	0.0104264054607082	0.583747959314418	0.583841065645933	4	3	0.75	0.43788079923445	MediumCPI
добыла	0.00607018196492092	0.395170944821242	0.395217563805052	5	3	0.6	0.237130538283031	LowCPI
сидеть	0.157220521575639	0.786213931383282	0.801779669426503	23	20	0.869565217391304	0.697199712544785	MediumCPI
зеленым	1.0521570364424	0.991222124615461	1.4455295672045	5	5	1	1.4455295672045	HighCPI
лугам	0.017766689841389	0.656557069922144	0.656797412702479	5	4	0.8	0.525437930161983	MediumCPI
конский	0.00607018196492491	0.39517094482147	0.39521756380528	5	3	0.6	0.237130538283168	LowCPI
собачий	0.0104264054607075	0.583747959314411	0.583841065645926	4	3	0.75	0.437880799234445	MediumCPI
жеребенок	0.00532955131647538	0.118832497073998	0.118951950291185	21	6	0.285714285714286	0.0339862715117672	VLowCPI
крючком	0.00608950663910478	0.290944881592944	0.29100860161899	8	4	0.5	0.145504300809495	VLowCPI
прощай	0.239778991749945	0.786585614499735	0.822320432570264	35	30	0.857142857142857	0.704846085060226	MediumCPI
дятел	0.00165314360614873	0.0218420030259131	0.0219044739714641	40	3	0.075	0.00164283554785981	VLowCPI
свил	1.68849713979274	0.991249817135453	1.95795781135839	8	8	1	1.95795781135839	HighCPI
снес	0.137554755732652	0.860470421983626	0.871395810142182	12	11	0.916666666666667	0.798779492630333	HighCPI
яичка	0.843657066311994	0.991242646001804	1.30166018176436	4	4	1	1.30166018176436	HighCPI
полезай	0.0949908713730535	0.671506152333315	0.678191549833604	25	20	0.8	0.542553239866883	MediumCPI
долой	0.104180641858422	0.565871859727037	0.575382105881794	43	31	0.720930232558139	0.414810355403154	LowCPI
дуб	0.0362420922396944	0.192106164107681	0.195494929699156	82	31	0.378048780487805	0.0739066197643149	VLowCPI
одного	0.351771888213398	0.630311737073983	0.721828474937392	111	81	0.72972972972973	0.526739697927286	MediumCPI
брось	0.0409992768168405	0.550650275189965	0.55217448896729	18	13	0.722222222222222	0.398792686476376	LowCPI
выучу	0.00607018196492491	0.39517094482147	0.39521756380528	5	3	0.6	0.237130538283168	LowCPI
кустик	0.00570656252151871	0.191051224639329	0.191136431095695	13	5	0.384615384615385	0.0735140119598827	VLowCPI
лесок	0.00117474269373399	0.0968050633667714	0.096812190936065	6	1	0.166666666666667	0.0161353651560108	VLowCPI
журавль	0.00428467201953992	0.069200020005355	0.0693325405784077	31	6	0.193548387096774	0.0134192014022725	VLowCPI
журавлем	0.00459577014184931	0.291051711704372	0.291087993550475	6	3	0.5	0.145543996775237	VLowCPI
журавля	0.00882657263614739	0.345675064253585	0.345787736091408	9	5	0.555555555555556	0.19210429782856	LowCPI
приходи	0.0580947702754774	0.486457230931221	0.489913910660467	33	22	0.666666666666667	0.326609273773645	LowCPI
наварила	1.0524527897184	0.99122480785459	1.44574669091525	5	5	1	1.44574669091525	HighCPI
подала	0.0858210831473544	0.719502361116603	0.724602584845619	18	15	0.833333333333333	0.603835487371349	MediumCPI
потчевает	0.0104264054607075	0.583747959314411	0.583841065645926	4	3	0.75	0.437880799234445	MediumCPI
покушай	0.00996800658371993	0.472013595736993	0.472118836434026	6	4	0.666666666666667	0.314745890956017	LowCPI
голубчик	0.167408573822439	0.873864734830893	0.88975569982458	13	12	0.923076923076923	0.821312953684228	HighCPI
хлоп	0.0176818892618013	0.345760863068614	0.346212685552999	18	10	0.555555555555556	0.192340380862777	LowCPI
кашу	0.0332271517222848	0.426898232558637	0.428189379332631	24	15	0.625	0.267618362082894	LowCPI
каша	0.0104264054607082	0.583747959314418	0.583841065645933	4	3	0.75	0.43788079923445	MediumCPI
любезный	0.0504623238098287	0.404339789198979	0.407476516199109	40	24	0.6	0.244485909719465	LowCPI
потчевать	0.127296795898213	0.688399111563272	0.700069861547441	31	25	0.806451612903226	0.564572468989872	MediumCPI
нечем	0.125352331479983	0.762545872125952	0.772780314257419	21	18	0.857142857142857	0.662383126506359	MediumCPI
приготовил	1.27085256203334	0.99126285668742	1.61172835349968	6	6	1	1.61172835349968	HighCPI
кушай	1.0524527897184	0.99122480785459	1.44574669091525	5	5	1	1.44574669091525	HighCPI
вокруг	0.0860778415573813	0.688011183152292	0.693374922354273	21	17	0.80952380952381	0.561303508572507	MediumCPI
кувшина	0.0148736031240142	0.533418532729571	0.533625856878449	7	5	0.714285714285714	0.381161326341749	LowCPI
зайдет	1.48571945133804	0.991282763394115	1.78605817516857	7	7	1	1.78605817516857	HighCPI
этак	0.33807060158396	0.838620544624996	0.904199175802802	35	31	0.885714285714286	0.800862127139625	HighCPI
достанет	2.70413046256008	0.991143202908315	2.8800497230459	13	13	1	2.8800497230459	HighCPI
меж	0.280915038493524	0.803328588654932	0.851028836292956	37	32	0.864864864864865	0.73602493949661	HighCPI
клюет	0.0104264054607075	0.583747959314411	0.583841065645926	4	3	0.75	0.437880799234445	MediumCPI
поел	0.0522042402834317	0.500765621384475	0.503479384150086	28	19	0.678571428571429	0.341646724958987	LowCPI
угощать	5.01802603933973	0.991153340441487	5.11497510020918	24	24	1	5.11497510020918	HighCPI
наестся	0.0177666898413834	0.656557069922053	0.656797412702388	5	4	0.8	0.525437930161911	MediumCPI
врозь	0.0695960832482701	0.806224575498609	0.809222887059809	9	8	0.888888888888889	0.719309232942053	MediumCPI
снегурушка	0.000374566922987532	0.013928237083831	0.0139332727183244	15	1	0.0666666666666667	0.000928884847888291	VLowCPI
внучка	0.0112228365864127	0.262071201532129	0.262311392687278	17	8	0.470588235294118	0.123440655382248	VLowCPI
собрались	0.418444344042355	0.773290732761721	0.879246396885535	66	55	0.833333333333333	0.732705330737946	HighCPI
подружки	0.017766689841389	0.656557069922144	0.656797412702479	5	4	0.8	0.525437930161983	MediumCPI
ягоды	0.0388473173082484	0.74912679284095	0.750133365351932	7	6	0.857142857142857	0.642971456015942	MediumCPI
старики	0.0695960832482701	0.806224575498609	0.809222887059809	9	8	0.888888888888889	0.719309232942053	MediumCPI
многих	0.84365678068156	0.991242643104132	1.30165999442944	4	4	1	1.30165999442944	HighCPI
отпустили	2.33203693270152	0.991271482949502	2.5339722588049	11	11	1	2.5339722588049	HighCPI
приказали	0.0529607475207437	0.780793658458695	0.782587744516402	8	7	0.875	0.684764276451851	MediumCPI
подруг	0.0104264054607075	0.583747959314411	0.583841065645926	4	3	0.75	0.437880799234445	MediumCPI
ходя	0.017766689841389	0.656557069922144	0.656797412702479	5	4	0.8	0.525437930161983	MediumCPI
слыхала	1.0521570364424	0.991222124615461	1.4455295672045	5	5	1	1.4455295672045	HighCPI
темно	1.0524527897184	0.99122480785459	1.44574669091525	5	5	1	1.44574669091525	HighCPI
видя	2.11806258183496	0.991262750138974	2.3385446201393	10	10	1	2.3385446201393	HighCPI
припеваючи	0.111580161156204	0.845134337255727	0.852468287018538	11	10	0.909090909090909	0.774971170016853	HighCPI
ау	0.00048262534265534	0.0212913722519864	0.0212968415403324	12	1	0.0833333333333333	0.0017747367950277	VLowCPI
голубушка	0.0412569749964133	0.552198934122658	0.553738025452518	18	13	0.722222222222222	0.399921907271263	LowCPI
дедушки	0.00526533394665476	0.237353045861343	0.237411440586225	9	4	0.444444444444444	0.1055161958161	VLowCPI
бабушки	0.0106231652931054	0.289894502306741	0.290089079609209	14	7	0.5	0.145044539804604	VLowCPI
девки	0.00995819257198528	0.182459452091757	0.18273099697896	24	9	0.375	0.0685241238671101	VLowCPI
покинули	0.0277239145718756	0.623619811669685	0.624235760707541	9	7	0.777777777777778	0.485516702772532	MediumCPI
батюшка	0.170214060408092	0.239383552467315	0.293729997706195	291	116	0.398625429553265	0.117088246508312	VLowCPI
отнесу	0.0148736031240142	0.533418532729571	0.533625856878449	7	5	0.714285714285714	0.381161326341749	LowCPI
сошла	0.0562553437921579	0.716078967391373	0.718285285416226	12	10	0.833333333333333	0.598571071180188	MediumCPI
внучку	0.00386882977154897	0.229198208927737	0.229230859221624	7	3	0.428571428571429	0.0982417968092673	VLowCPI
такая	0.280498634789246	0.631657575293666	0.691137306578443	88	65	0.738636363636364	0.510499146904532	MediumCPI
войди	0.843656780450673	0.991242643101929	1.30165999427811	4	4	1	1.30165999427811	HighCPI
принесли	0.174871765443087	0.728851443512624	0.749536230651739	35	29	0.828571428571429	0.621044305397155	MediumCPI
молока	0.0206741065421483	0.176208695545715	0.177417369688649	52	19	0.365384615384615	0.0648255773862371	VLowCPI
яиц	0.0552537693567997	0.712411966402474	0.714551459939432	12	10	0.833333333333333	0.595459549949527	MediumCPI
услугу	1.68849864761623	0.991249824648832	1.95795911547412	8	8	1	1.95795911547412	HighCPI
награду	2.11806258183496	0.991262750138974	2.3385446201393	10	10	1	2.3385446201393	HighCPI
простились	0.0388473173082484	0.74912679284095	0.750133365351932	7	6	0.857142857142857	0.642971456015942	MediumCPI
понесли	0.0890446876343367	0.827304114597354	0.832082360362007	10	9	0.9	0.748874124325806	HighCPI
